Payment Type,Transaction Time,Settlement Time,Order,Customer Email,Credit Card Number Mask,Refund Amount,Amount,3D Secure,Card Association,Acquiring Bank,Bank On Us/ Off Us,Transaction Fee,Merchant Has,Refund,Payment Options,Coins Share,Transaction ID,TREF ID
bank_transfer,"Jun 12 2023, 13:56","Jun 12 2023, 13:57",d46f5714-71f3-4d79-a3fd-22d091884425,"",,0.0,2000000.0,No Auth,,bni,,3850.0,1996150.0,false,,,4ea12330-ee30-4c1e-9454-ca26805f685a,
bank_transfer,"Jun 12 2023, 13:59","Jun 12 2023, 14:00",fec439f2-79cb-40ba-8f01-47488833dcd4,"",,0.0,1366667.0,No Auth,,bni,,3850.0,1362817.0,false,,,9b836845-b584-40ef-8f53-d85f26f5128b,
bank_transfer,"Jun 12 2023, 14:19","Jun 12 2023, 14:24",4d2e4c71-dbb5-43a2-8639-a30dca5eabf8,"",,0.0,350000.0,No Auth,,bni,,3850.0,346150.0,false,,,db3a4050-0320-4595-b114-ed8a46905922,
bank_transfer,"Jun 12 2023, 16:12","Jun 12 2023, 16:13",5c0a687a-ec6e-4b21-9e21-bcb075406314,"",,0.0,1491000.0,No Auth,,bni,,3850.0,1487150.0,false,,,df6b8266-f17d-4541-aabf-80e60de8cc87,
bank_transfer,"Jun 12 2023, 18:13","Jun 12 2023, 18:14",a1626f82-dc60-4005-84d5-09431a055c0a,"",,0.0,630209.0,No Auth,,bni,,3850.0,626359.0,false,,,9735ccc9-784e-4bd7-922b-ed7732030335,
bank_transfer,"Jun 12 2023, 18:39","Jun 12 2023, 18:39",60ef79e4-acbe-41c7-8654-12bd5f127d37,"",,0.0,1772800.0,No Auth,,bni,,3850.0,1768950.0,false,,,ea7da01d-d332-475d-abe3-24627e9e692d,
bank_transfer,"Jun 12 2023, 18:53","Jun 12 2023, 19:06",0e8557ac-ea77-4aaa-af21-6f9d5b58ba9e,"",,0.0,426021.0,No Auth,,bni,,3850.0,422171.0,false,,,ad3f43d5-dedc-4717-9353-eed368285933,
bank_transfer,"Jun 12 2023, 20:18","Jun 12 2023, 20:19",2399afe8-cb45-4966-a237-cb2111293d7f,"",,0.0,639135.0,No Auth,,bni,,3850.0,635285.0,false,,,24532787-6fd9-43a2-a571-116c4e0619f5,
bank_transfer,"Jun 12 2023, 20:20","Jun 12 2023, 20:20",0e5e37cd-8ee1-414f-852f-5ba42c07db1c,"",,0.0,487885.0,No Auth,,bni,,3850.0,484035.0,false,,,0aa0942f-6f93-4f46-bad1-a65624475e28,
bank_transfer,"Jun 12 2023, 20:33","Jun 12 2023, 20:34",a20aa9e8-7ff0-4487-a583-74e63eabff48,"",,0.0,584834.0,No Auth,,bni,,3850.0,580984.0,false,,,bb8fbd96-e323-4f0d-a55e-e4abaa019030,
bank_transfer,"Jun 12 2023, 21:16","Jun 12 2023, 21:18",b1bb8e4b-268c-435a-b986-e9f07e5160d6,"",,0.0,115035.0,No Auth,,bni,,3850.0,111185.0,false,,,bae3d4f7-259b-4696-8f2d-ba08ad20e15e,
bank_transfer,"Jun 12 2023, 23:57","Jun 13 2023, 00:03",be28e40f-7c13-4d65-a140-31445335c233,"",,0.0,1666000.0,No Auth,,bni,,3850.0,1662150.0,false,,,bbdd31b4-2be1-4bf9-9fcc-a615477317a1,
mandiri_bill,"Jun 12 2023, 00:54","Jun 12 2023, 01:00",d39b5438-b430-4b48-aecd-0303452e4e4b,"",,0.0,851760.0,No Auth,,mandiri,,3850.0,847910.0,false,,,647f58fb-282d-4b03-98cf-2e5611b0a78d,
mandiri_bill,"Jun 12 2023, 02:44","Jun 12 2023, 02:45",155215c5-10bd-422e-9ce0-fba3c10fedef,"",,0.0,2517063.0,No Auth,,mandiri,,3850.0,2513213.0,false,,,b7f0ee01-ecfe-4673-87e8-785a33bde1e2,
mandiri_bill,"Jun 12 2023, 05:23","Jun 12 2023, 05:23",8a348cbb-4622-487b-a495-319ce21a3e67,"",,0.0,298665.0,No Auth,,mandiri,,3850.0,294815.0,false,,,29e1efb0-3a92-4197-b8d4-7184687aef8b,
mandiri_bill,"Jun 12 2023, 06:50","Jun 12 2023, 06:52",3d3a9c62-867c-416c-ae69-9c78697acae1,"",,0.0,2395867.0,No Auth,,mandiri,,3850.0,2392017.0,false,,,c5368fd3-aeff-489e-bd4e-3bb41241033b,
mandiri_bill,"Jun 12 2023, 07:08","Jun 12 2023, 07:09",ed22c310-2ece-45f6-98e9-8a9f1a28a462,"",,0.0,930648.0,No Auth,,mandiri,,3850.0,926798.0,false,,,5b4151f9-2124-47f7-bc66-ed0eae9d2598,
mandiri_bill,"Jun 12 2023, 07:08","Jun 12 2023, 07:09",b06ffa6c-f06d-4c63-b084-d5b1d06a5c22,"",,0.0,950000.0,No Auth,,mandiri,,3850.0,946150.0,false,,,d70ecad1-c83b-4dbc-835b-785d51c3fbae,
mandiri_bill,"Jun 12 2023, 07:17","Jun 12 2023, 07:21",0df4063d-168a-4693-abc7-b8432b3f840b,"",,0.0,714602.0,No Auth,,mandiri,,3850.0,710752.0,false,,,2b221f6e-a10e-4ef1-8af3-f71a536b8967,
mandiri_bill,"Jun 12 2023, 08:10","Jun 12 2023, 08:11",99445550-d235-414a-a724-3253aa027fe6,"",,0.0,630271.0,No Auth,,mandiri,,3850.0,626421.0,false,,,bacc6359-d1e1-4589-a0bd-4e433f315b7f,
mandiri_bill,"Jun 12 2023, 08:16","Jun 12 2023, 08:17",59af9c0e-1cf6-4793-9584-a011a0ed3631,"",,0.0,500000.0,No Auth,,mandiri,,3850.0,496150.0,false,,,54a77710-892f-40bc-aba1-28a53aff389e,
mandiri_bill,"Jun 12 2023, 08:30","Jun 12 2023, 08:31",c78a0244-89c2-4638-82d4-e7710bf6dac1,"",,0.0,1609234.0,No Auth,,mandiri,,3850.0,1605384.0,false,,,a3b67807-143d-47e4-91ad-2f9e581ef27b,
mandiri_bill,"Jun 12 2023, 08:43","Jun 12 2023, 08:44",ecb0122d-6213-4fe4-8113-79541c301562,"",,0.0,425315.0,No Auth,,mandiri,,3850.0,421465.0,false,,,381a4ebc-377c-46d5-a299-9657aef0c71a,
mandiri_bill,"Jun 12 2023, 08:48","Jun 12 2023, 08:48",8313e43c-e8ad-46b2-b744-a9fd6b629108,"",,0.0,600000.0,No Auth,,mandiri,,3850.0,596150.0,false,,,a8670291-138a-4fb4-8363-e8aff75f5a1e,
mandiri_bill,"Jun 12 2023, 09:23","Jun 12 2023, 09:25",48161ca6-b4fd-4bbf-add7-f316b1e1176c,"",,0.0,819000.0,No Auth,,mandiri,,3850.0,815150.0,false,,,87c3a3a0-f2e7-4709-8758-2ec2eb1d5831,
mandiri_bill,"Jun 12 2023, 10:23","Jun 12 2023, 10:24",6880100c-e38e-4121-9b62-e0d05e3dca5c,"",,0.0,2318418.0,No Auth,,mandiri,,3850.0,2314568.0,false,,,7e24193f-bac5-4bd6-ac86-13c57c1f7352,
mandiri_bill,"Jun 12 2023, 10:37","Jun 12 2023, 10:39",1ad70482-10f8-48cd-a674-87a367809ac1,"",,0.0,766667.0,No Auth,,mandiri,,3850.0,762817.0,false,,,b213456c-035b-4cb3-b0e1-708265a98e71,
mandiri_bill,"Jun 12 2023, 11:16","Jun 12 2023, 11:19",998375df-a5a8-4332-b8a1-23f33b74c812,"",,0.0,1788750.0,No Auth,,mandiri,,3850.0,1784900.0,false,,,06c7c8be-2af8-4c80-a115-55e052f9a115,
